1,18.5,7.0,13.2,,,,,,,,,,9.2,9,9,,,,,,
2,15.5,6.5,13.5,12.5,,,,,,,,,5.5,5.5,,,,,,,
3,15.0,4.0,11,,,,,,,,,,8,,,,,,,,
4,15.0,4.0,10.5,8.5,,,,,,,,,7,4.5,3,,,,,,
5,15.0,-1.5,12,9,8,,,,,,,,6.5,2.5,2.5,,,,,,
6,14.0,8.0,,,,,,,,,,,9.5,,,,,,,,
7,14.0,8.0,16.5,14,13,13,,,,,,,10.5,4,,,,,,,
8,14.0,6.5,,,,,,,,,,,10.5,8,6,,,,,,
9,14.5,6.0,,,,,,,,,,,6,,,,,,,,
10,14.0,5.5,,,,,,,,,,,5.5,,,,,,,,
11,14.0,2.0,14,10,,,,,,,,,8,7,7,6,3.5,3,,,
12,14.0,1.0,,,,,,,,,,,5,,,,,,,,
13,13.0,7.0,11,,,,,,,,,,2,,,,,,,,
14,13.0,7.0,8,7,,,,,,,,,,,,,,,,,
15,13.0,6.5,11,10.5,,,,,,,,,6.7,,,,,,,,
16,13.0,5.0,12,10.5,10.2,10.2,9.2,,,,,,8.7,6.5,4.5,3.5,,,,,
17,13.0,4.5,14,13,11.5,2.5,,,,,,,6.5,2.3,,,,,,,
18,13.0,4.0,,,,,,,,,,,6,4.5,4,,,,,,
19,13.2,3.0,,,,,,,,,,,2.7,,,,,,,,
20,12.7,9.0,13.2,13,12.7,,,,,,,,10,9,8.5,8,6,,,,
21,12.0,8.0,13,,,,,,,,,,8.5,8,,,,,,,
22,12.0,7.0,13,11,,,,,,,,,7,,,,,,,,
23,12.0,5.0,14.2,10.5,9.5,,,,,,,,6,5.5,5,5,,,,,
24,12.0,5.5,,,,,,,,,,,5.5,,,,,,,,
25,12.0,4.0,,,,,,,,,,,6,3,,,,,,,
26,12.0,3.0,10.5,10.5,9,,,,,,,,5,3,,,,,,,
27,12.0,3.0,9,7,,,,,,,,,3,,,,,,,,
28,12.0,3.0,13,7,,,,,,,,,10.5,10,6.5,3,,,,,
29,12.5,3.5,,,,,,,,,,,7.5,7.2,6.7,,,,,,
30,12.0,2.0,,,,,,,,,,,4,,,,,,,,
31,12.5,2.0,11,10,10,,,,,,,,6,5,5,,,,,,
32,12.0,2.0,14,12,9,,,,,,,,7.5,3.5,,,,,,,
33,12.0,2.0,12,11.5,11.5,10,,,,,,,8,,,,,,,,
34,12.0,1.0,,,,,,,,,,,5.7,,,,,,,,
