13.2,,,,,,,,,
13.5,12.5,,,,,,,,
11,,,,,,,,,
10.5,8.5,,,,,,,,
12,9,8,,,,,,,
,,,,,,,,,
16.5,14,13,13,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
14,10,,,,,,,,
,,,,,,,,,
11,,,,,,,,,
8,7,,,,,,,,
11,10.5,,,,,,,,
12,10.5,10.2,10.2,9.2,,,,,
14,13,11.5,2.5,,,,,,
,,,,,,,,,
,,,,,,,,,
13.2,13,12.7,,,,,,,
13,,,,,,,,,
13,11,,,,,,,,
14.2,10.5,9.5,,,,,,,
,,,,,,,,,
,,,,,,,,,
10.5,10.5,9,,,,,,,
9,7,,,,,,,,
13,7,,,,,,,,
,,,,,,,,,
,,,,,,,,,
11,10,10,,,,,,,
14,12,9,,,,,,,
12,11.5,11.5,10,,,,,,
,,,,,,,,,
18,14,13,12,,,,,,
13.2,13,9,,,,,,,
10,,,,,,,,,
10,9,8.5,,,,,,,
11,,,,,,,,,
16,12,11,6,,,,,,
10.5,,,,,,,,,
12,12,11,9,,,,,,
13,,,,,,,,,
8.5,7.7,,,,,,,,
8,8,,,,,,,,
,,,,,,,,,
12,11,10.5,,,,,,,
8,8,8,,,,,,,
12,11,10,,,,,,,
13,,,,,,,,,
,,,,,,,,,
11,7,,,,,,,,
11,10,10,4,,,,,,
11,11,10,,,,,,,
11,10,,,,,,,,
12,10.5,10.5,,,,,,,
10,,,,,,,,,
10.5,10,9,9,6,,,,,
,,,,,,,,,
11.5,9,,,,,,,,
11,10,9,,,,,,,
10,8.7,,,,,,,,
15,,,,,,,,,
10,9,,,,,,,,
,,,,,,,,,
13,12,12,6.5,,,,,,
12,10.2,9,8.5,,,,,,
,,,,,,,,,
13,12,10.5,5,5,,,,,
7,5,,,,,,,,
10,10,,,,,,,,
19,15,11,,,,,,,
13,12.5,,,,,,,,
9,9,,,,,,,,
12,10,8.7,,,,,,,
10.7,10,8,7.0,7,6,5,,,
10,8,6.7,,,,,,,
12,10,,,,,,,,
14,9.5,9,8,8,8,,,,
,,,,,,,,,
8,,,,,,,,,
11,10,10,10,9.5,8.5,,,,
10,7,5.5,,,,,,,
10,8.5,,,,,,,,
12.5,9,7,,,,,,,
11,7.5,,,,,,,,
8,7,,,,,,,,
10,6.5,,,,,,,,
12,10,9.5,9.5,8,,,,,
10.7,9.7,9.2,5.2,,,,,,
12,12,,,,,,,,
11.2,7,,,,,,,,
7,4.5,,,,,,,,
,,,,,,,,,
11.5,4.5,,,,,,,,
12,6,,,,,,,,
15,11,10,,,,,,,
,,,,,,,,,
13,12,11.7,11.5,,,,,,
11.2,11,10,,,,,,,
15,14,12,8.5,,,,,,
10,8.5,8,,,,,,,
13,11,10.5,10.5,7,6,,,,
10.5,7.5,,,,,,,,
11,,,,,,,,,
11,11,10.5,10.5,,,,,,
13,12,9,9,,,,,,
10,8.5,7,,,,,,,
9.7,8,0,,,,,,,
11.7,6.5,,,,,,,,
,,,,,,,,,
9,,,,,,,,,
12,,,,,,,,,
13,10,10,4,,,,,,
10.5,7,6,,,,,,,
10.5,,,,,,,,,
,,,,,,,,,
13,12,9,8.0,,,,,,
13,11,11,9,,,,,,
12,10,7.8,,,,,,,
11,10,10,9,,,,,,
12,8,,,,,,,,
10,9.5,9,,,,,,,
8,8,7.5,4,3,3,,,,
10.5,,,,,,,,,
9,6,,,,,,,,
9.5,,,,,,,,,
11,,,,,,,,,
13,11,,,,,,,,
10,9,9,8.7,8.5,8.5,8,8,8,6.2
7.5,6,,,,,,,,
6,,,,,,,,,
11.7,11.5,10.7,5.5,,,,,,
12,12,,,,,,,,
9.2,8,6,6,,,,,,
11,8,8,7,,,,,,
6,3,,,,,,,,
11.2,11.2,9,8.5,,,,,,
,,,,,,,,,
9,7,6,,,,,,,
10.5,10,8,6,6,,,,,
13.5,10,9.5,,,,,,,
7,,,,,,,,,
10,8,5.5,,,,,,,
11,8,6,5.5,5,,,,,
7,7,6,,,,,,,
8.2,,,,,,,,,
10,,,,,,,,,
10,9,7,5.5,,,,,,
8.5,,,,,,,,,
7.7,,,,,,,,,
6.5,,,,,,,,,
8.5,8,4,,,,,,,
6.7,,,,,,,,,
4,,,,,,,,,
7.5,7,6.5,,,,,,,
9,,,,,,,,,
8,5,4.7,4,4,3,,,,
12.7,12.7,11.5,,,,,,,
11,,,,,,,,,
13,11,10.5,10,9,,,,,
9.7,7.5,,,,,,,,
10,9,,,,,,,,
10,7.7,,,,,,,,
5,,,,,,,,,
11,9,,,,,,,,
11.5,10,7,7,,,,,,
11,10.2,9.2,8.5,8,7,5.5,,,
9,8,,,,,,,,
10,9.5,9,8.5,,,,,,
7,,,,,,,,,
10.5,10.5,7,6,6,,,,,
12,5,5,4.5,,,,,,
6,5,,,,,,,,
12,8,,,,,,,,
8.7,8.5,7.0,6.5,4.5,,,,,
12,11,7,,,,,,,
10,,,,,,,,,
,,,,,,,,,
7.2,7,5,,,,,,,
10,8,,,,,,,,
10,,,,,,,,,
8,7,5,,,,,,,
5,,,,,,,,,
8,7,6.5,6,5.7,5.5,5,,,
6.5,6,6,,,,,,,
,,,,,,,,,
3,,,,,,,,,
7,7.0,6,5,,,,,,
9,8,8,,,,,,,
10.7,,,,,,,,,
9.2,9,8,7.7,,,,,,
7,7,,,,,,,,
10,,,,,,,,,
6,6,,,,,,,,
11,11,9,,,,,,,
8,8,7,7,,,,,,
11.5,8,,,,,,,,
10.5,8,,,,,,,,
4.5,,,,,,,,,
6,,,,,,,,,
,,,,,,,,,
4,,,,,,,,,
6.5,,,,,,,,,
12,10.5,8.7,8.5,7.7,,,,,
